Time (s),Position X (px),Position Y (px)
0.039,0.00,0.00
0.076,-0.22,0.29
0.120,-0.11,0.06
0.174,1.11,-0.57
0.207,1.03,-0.60
0.250,0.98,-0.51
0.303,0.30,-0.49
0.362,0.94,-1.76
0.402,1.00,-1.78
0.462,0.50,-0.56
0.529,-0.03,-0.33
0.562,0.24,-0.57
0.642,1.26,-1.33
0.669,0.60,-1.24
0.738,0.05,-0.28
0.768,0.23,-0.30
0.805,0.88,-0.41
0.874,0.89,-0.50
0.939,-0.00,0.07
1.008,0.92,-0.06
1.036,0.98,-0.34
1.070,1.02,-0.39
1.145,-0.38,-0.25
1.168,-0.13,-0.02
1.205,0.33,0.08
1.261,1.27,-0.07
1.301,1.04,-0.24
1.336,0.44,0.04
1.372,0.15,0.21
1.419,-0.15,0.44
1.471,1.99,0.13
1.542,0.62,0.19
1.600,-0.13,0.36
1.646,0.15,0.50
1.702,1.97,0.49
1.745,1.79,0.35
1.802,0.10,0.43
1.878,0.51,0.53
1.935,1.96,0.43
1.973,1.68,0.31
2.010,0.70,0.24
2.070,0.20,0.27
2.112,1.08,0.20
2.144,2.90,0.53
2.185,2.76,0.54
2.238,1.07,0.31
2.298,0.49,0.48
2.345,1.11,0.50
2.406,1.77,0.58
2.447,1.12,0.50
2.506,-0.23,0.33
2.543,0.12,0.04
2.577,1.28,-0.80
2.650,1.77,-0.70
2.675,1.83,0.29
2.710,2.07,1.86
2.752,5.06,2.40
2.811,15.67,1.74
2.845,17.86,0.29
2.877,16.62,-0.95
2.942,7.59,-1.74
2.976,5.18,-1.46
3.042,6.78,0.19
3.073,8.96,1.05
3.108,10.88,1.89
3.147,13.95,1.71
3.218,13.38,-0.81
3.285,6.51,-1.59
3.344,4.54,-1.27
3.386,4.70,-0.98
3.450,8.63,0.31
3.506,15.12,0.49
3.546,15.76,0.30
3.578,15.93,0.32
3.642,18.08,-0.02
3.711,19.84,-0.98
3.750,18.54,-1.09
3.809,9.97,-1.75
3.846,6.22,-1.85
3.883,4.24,-1.80
3.911,2.81,-1.86
3.959,2.78,-1.71
4.011,1.12,-2.07
4.047,1.45,-2.13
4.078,2.12,-1.91
4.117,3.03,-1.77
4.180,8.44,-1.54
4.224,12.32,-0.96
4.279,18.51,-0.62
4.317,20.99,-0.89
4.382,22.99,-1.31
4.425,21.56,-1.46
4.482,14.70,-2.00
4.518,11.56,-3.02
4.584,6.26,-3.33
4.619,5.27,-3.24
4.681,3.44,-3.29
4.718,3.20,-2.75
4.761,3.63,-2.23
4.812,5.83,-2.06
4.851,7.15,-1.72
4.893,8.76,-1.43
4.943,12.37,-0.81
4.989,14.29,-0.59
5.045,16.15,-0.64
5.083,14.85,-1.24
5.122,12.98,-1.36
5.180,12.52,-1.84
5.216,15.45,-1.56
5.250,14.08,-1.70
5.282,10.23,-1.79
5.324,6.33,-2.16
5.386,2.73,-2.00
5.458,5.00,-1.72
5.497,7.49,-0.96
5.554,10.08,-0.30
5.584,11.13,-0.19
5.618,13.31,0.00
5.686,20.61,0.68
5.752,22.16,0.61
5.795,17.90,0.36
